"","event","trial","time","participant"
"302","focus",1274,1457568,"A9LSEP71DNP4O"
"303","fullscreenenter",2,27230,"A337X6ZE9WIIU7"
"304","blur",1,35140,"A1KOBLL83SICGQ"
"305","focus",1,38278,"A1KOBLL83SICGQ"
"306","blur",1,39726,"A1KOBLL83SICGQ"
"307","focus",1,73650,"A1KOBLL83SICGQ"
"308","blur",1,97300,"A1KOBLL83SICGQ"
"309","focus",1,101931,"A1KOBLL83SICGQ"
"310","fullscreenenter",2,205936,"A1KOBLL83SICGQ"
"311","blur",926,7031723,"A1KOBLL83SICGQ"
"312","focus",926,8910869,"A1KOBLL83SICGQ"
"313","focus",1,34114,"A1PUSSRD8P5HHH"
"314","fullscreenenter",2,60209,"A1PUSSRD8P5HHH"
"315","fullscreenexit",3,64882,"A1PUSSRD8P5HHH"
"316","blur",0,3444,"A1Q56N80RJLQ7S"
"317","focus",1,10766,"A1Q56N80RJLQ7S"
"318","fullscreenenter",2,13581,"A1Q56N80RJLQ7S"
"319","blur",3,17477,"A1Q56N80RJLQ7S"
"320","focus",3,17477,"A1Q56N80RJLQ7S"
"321","fullscreenexit",11,74231,"A1Q56N80RJLQ7S"
"322","blur",11,74703,"A1Q56N80RJLQ7S"
"323","focus",12,84273,"A1Q56N80RJLQ7S"
"324","blur",13,89324,"A1Q56N80RJLQ7S"
"325","focus",14,102560,"A1Q56N80RJLQ7S"
"326","blur",15,107816,"A1Q56N80RJLQ7S"
"327","focus",16,120437,"A1Q56N80RJLQ7S"
"328","blur",17,127176,"A1Q56N80RJLQ7S"
"329","focus",18,140735,"A1Q56N80RJLQ7S"
"330","blur",19,146732,"A1Q56N80RJLQ7S"
"331","focus",19,152353,"A1Q56N80RJLQ7S"
"332","blur",19,152726,"A1Q56N80RJLQ7S"
"333","focus",20,159734,"A1Q56N80RJLQ7S"
"334","blur",21,168081,"A1Q56N80RJLQ7S"
"335","focus",21,178023,"A1Q56N80RJLQ7S"
"336","blur",21,178314,"A1Q56N80RJLQ7S"
"337","focus",21,178955,"A1Q56N80RJLQ7S"
"338","blur",21,179096,"A1Q56N80RJLQ7S"
"339","focus",22,180520,"A1Q56N80RJLQ7S"
"340","blur",23,185557,"A1Q56N80RJLQ7S"
"341","focus",23,186064,"A1Q56N80RJLQ7S"
"342","blur",23,186205,"A1Q56N80RJLQ7S"
"343","focus",23,189578,"A1Q56N80RJLQ7S"
"344","blur",23,189956,"A1Q56N80RJLQ7S"
"345","focus",23,192012,"A1Q56N80RJLQ7S"
"346","blur",23,192203,"A1Q56N80RJLQ7S"
"347","focus",24,199419,"A1Q56N80RJLQ7S"
"348","blur",25,206500,"A1Q56N80RJLQ7S"
"349","focus",25,209682,"A1Q56N80RJLQ7S"
"350","blur",25,210326,"A1Q56N80RJLQ7S"
"351","focus",26,220373,"A1Q56N80RJLQ7S"
"352","blur",27,225450,"A1Q56N80RJLQ7S"
"353","focus",27,226528,"A1Q56N80RJLQ7S"
"354","blur",27,226847,"A1Q56N80RJLQ7S"
"355","focus",27,235533,"A1Q56N80RJLQ7S"
"356","blur",27,235679,"A1Q56N80RJLQ7S"
"357","focus",27,237165,"A1Q56N80RJLQ7S"
"358","blur",27,237406,"A1Q56N80RJLQ7S"
"359","focus",27,237835,"A1Q56N80RJLQ7S"
"360","blur",29,245443,"A1Q56N80RJLQ7S"
"361","focus",29,248820,"A1Q56N80RJLQ7S"
"362","blur",29,249025,"A1Q56N80RJLQ7S"
"363","focus",30,259412,"A1Q56N80RJLQ7S"
"364","blur",31,264293,"A1Q56N80RJLQ7S"
"365","focus",32,277180,"A1Q56N80RJLQ7S"
"366","blur",33,285532,"A1Q56N80RJLQ7S"
"367","focus",34,299200,"A1Q56N80RJLQ7S"
"368","blur",35,303691,"A1Q56N80RJLQ7S"
"369","focus",36,316994,"A1Q56N80RJLQ7S"
"370","blur",37,322529,"A1Q56N80RJLQ7S"
"371","focus",38,335740,"A1Q56N80RJLQ7S"
